frame,x,y,z,yaw,speed_mps
135,-150.074,94.895,0.034,0.056,5.285
136,-149.811,94.895,0.034,0.088,5.246
137,-149.550,94.896,0.034,0.053,5.207
138,-149.291,94.896,0.034,0.085,5.169
139,-149.034,94.896,0.034,0.051,5.132
140,-148.778,94.896,0.034,0.084,5.095
141,-148.524,94.897,0.034,0.049,5.058
142,-148.273,94.897,0.034,0.082,5.022
143,-148.022,94.897,0.034,0.082,5.038
144,-147.769,94.898,0.034,0.093,5.046
145,-147.516,94.898,0.034,0.082,5.036
146,-147.265,94.898,0.034,0.085,5.037
147,-147.023,94.899,0.034,0.015,4.593
148,-146.802,94.900,0.034,-0.090,4.328
149,-146.591,94.900,0.034,-0.099,4.182
150,-146.383,94.901,0.034,-0.090,4.154
151,-146.173,94.901,0.034,-0.074,4.243
152,-145.956,94.901,0.034,-0.060,4.409
153,-145.729,94.901,0.034,-0.047,4.615
154,-145.492,94.901,0.033,-0.034,4.813
155,-145.248,94.901,0.033,-0.023,4.880
156,-145.007,94.901,0.033,-0.012,4.780
157,-144.773,94.901,0.034,-0.003,4.615
158,-144.547,94.902,0.034,0.004,4.456
159,-144.329,94.902,0.034,0.011,4.316
160,-144.116,94.902,0.034,0.017,4.242
161,-143.903,94.902,0.034,0.021,4.271
162,-143.687,94.902,0.034,0.025,4.360
163,-143.466,94.902,0.034,0.029,4.440
164,-143.244,94.903,0.034,0.033,4.431
165,-143.025,94.903,0.034,0.035,4.331
166,-142.812,94.903,0.034,0.038,4.203
167,-142.606,94.903,0.034,0.040,4.095
168,-142.403,94.903,0.034,0.042,4.038
169,-142.201,94.904,0.034,0.043,4.065
170,-141.995,94.904,0.034,0.042,4.127
171,-141.787,94.904,0.034,0.044,4.174
172,-141.578,94.904,0.034,0.047,4.182
173,-141.368,94.904,0.034,0.048,4.239
174,-141.152,94.905,0.034,0.050,4.376
175,-140.928,94.905,0.033,0.053,4.568
176,-140.693,94.905,0.033,0.055,4.787
177,-140.446,94.905,0.033,0.058,5.023
178,-140.187,94.906,0.033,0.059,5.266
179,-139.922,94.906,0.033,0.059,5.315
